provider,probe_type,t_write,delay_s,cache_read_tokens,cache_creation_tokens,latency_ms,verdict,cost_usd,note
deepseek,granularity,2026-01-01T04:15:52.921920+00:00,2.7,0,0,1852.0,miss,0.00119264,offset=0
deepseek,granularity,2026-01-01T04:15:52.921920+00:00,5.6,256,0,1739.4,hit,0.00114144,offset=256
deepseek,granularity,2026-01-01T04:15:52.921920+00:00,8.3,512,0,1626.7,hit,0.00109024,offset=512
deepseek,granularity,2026-01-01T04:15:52.921920+00:00,10.9,768,0,1514.1,hit,0.00103904,offset=768
deepseek,granularity,2026-01-01T04:15:52.921920+00:00,13.5,1024,0,1401.4,hit,0.00098784,offset=1024
deepseek,granularity,2026-01-01T04:15:52.921920+00:00,15.9,1152,0,1345.1,hit,0.00096224,offset=1152
deepseek,granularity,2026-01-01T04:15:52.921920+00:00,18.2,1280,0,1288.8,hit,0.00093664,offset=1280
deepseek,granularity,2026-01-01T04:15:52.921920+00:00,20.5,1536,0,1176.2,hit,0.00088544,offset=1536
deepseek,granularity,2026-01-01T04:15:52.921920+00:00,22.7,1792,0,1063.5,hit,0.00083424,offset=1792
deepseek,granularity,2026-01-01T04:15:52.921920+00:00,24.7,2048,0,950.9,hit,0.00078304,offset=2048
deepseek,claims_check,2026-01-01T04:16:18.604000+00:00,43200.0,2048,0,822.9,hit,0.00071392,claim=ttl_value:inside ttl=86400s
deepseek,claims_check,2026-01-01T16:16:21.150880+00:00,129600.0,0,0,1724.0,miss,0.00112352,claim=ttl_value:past ttl=86400s
deepseek,claims_check,2026-01-03T04:16:24.598880+00:00,51840.0,2048,0,822.9,hit,0.00071392,claim=refresh_on_hit:first
deepseek,claims_check,2026-01-03T04:16:24.598880+00:00,103680.0,2048,0,822.9,hit,0.00071392,claim=refresh_on_hit:second
deepseek,claims_check,2026-01-04T09:04:27.968640+00:00,0.0,0,0,1724.0,write,0.00056176,claim=write_premium implied=1.000x expected=1.000x
deepseek,claims_check,2026-01-04T09:04:29.692640+00:00,5.0,0,0,716.0,miss,3.488e-05,claim=min_cacheable:below n=32
deepseek,claims_check,2026-01-04T09:04:36.124640+00:00,5.0,128,0,707.7,hit,6.112e-05,claim=min_cacheable:above n=128
groq,ttl_curve,2026-01-01T00:00:00+00:00,30.0,2048,0,68.2,hit,0.00182512,
groq,ttl_curve,2026-01-01T00:00:30.220352+00:00,60.0,2048,0,68.2,hit,0.00182512,
groq,ttl_curve,2026-01-01T00:01:30.440704+00:00,120.0,2048,0,68.2,hit,0.00182512,
groq,ttl_curve,2026-01-01T00:03:30.661056+00:00,240.0,2048,0,68.2,hit,0.00182512,
groq,ttl_curve,2026-01-01T00:07:30.881408+00:00,480.0,2048,0,68.2,hit,0.00182512,
groq,ttl_curve,2026-01-01T00:15:31.101760+00:00,960.0,2048,0,68.2,hit,0.00182512,
groq,ttl_curve,2026-01-01T00:31:31.322112+00:00,1920.0,2048,0,68.2,hit,0.00182512,
groq,ttl_curve,2026-01-01T01:03:31.542464+00:00,3840.0,0,0,152.2,miss,0.00242928,
groq,ttl_curve,2026-01-01T02:07:31.846783+00:00,7680.0,0,0,152.2,miss,0.00242928,
groq,granularity,2026-01-01T04:15:32.151103+00:00,1.2,0,0,163.7,miss,0.00258032,offset=0
groq,granularity,2026-01-01T04:15:32.151103+00:00,2.3,0,0,163.7,miss,0.00258032,offset=256
groq,granularity,2026-01-01T04:15:32.151103+00:00,3.5,0,0,163.7,miss,0.00258032,offset=512
groq,granularity,2026-01-01T04:15:32.151103+00:00,4.6,0,0,163.7,miss,0.00258032,offset=768
groq,granularity,2026-01-01T04:15:32.151103+00:00,5.8,1024,0,121.7,hit,0.00227824,offset=1024
groq,granularity,2026-01-01T04:15:32.151103+00:00,6.9,1152,0,116.4,hit,0.00224048,offset=1152
groq,granularity,2026-01-01T04:15:32.151103+00:00,8.0,1280,0,111.2,hit,0.00220272,offset=1280
groq,granularity,2026-01-01T04:15:32.151103+00:00,9.2,1536,0,100.7,hit,0.0021272,offset=1536
groq,granularity,2026-01-01T04:15:32.151103+00:00,10.3,1792,0,90.2,hit,0.00205168,offset=1792
groq,granularity,2026-01-01T04:15:32.151103+00:00,11.3,2048,0,79.7,hit,0.00197616,offset=2048
groq,claims_check,2026-01-01T04:15:43.577951+00:00,1800.0,2048,0,68.2,hit,0.00182512,claim=ttl_value:inside ttl=3600s
groq,claims_check,2026-01-01T04:45:43.798303+00:00,5400.0,0,0,152.2,miss,0.00242928,claim=ttl_value:past ttl=3600s
groq,claims_check,2026-01-01T06:15:44.102623+00:00,2160.0,2048,0,68.2,hit,0.00182512,claim=refresh_on_hit:first
groq,claims_check,2026-01-01T06:15:44.102623+00:00,4320.0,2048,0,68.2,hit,0.00182512,claim=refresh_on_hit:second
groq,claims_check,2026-01-01T07:27:44.391167+00:00,0.0,0,0,152.2,write,0.00121464,claim=write_premium implied=1.000x expected=1.000x
groq,claims_check,2026-01-01T07:27:44.543327+00:00,5.0,0,0,100.3,miss,0.00106992,claim=min_cacheable:below n=896
groq,claims_check,2026-01-01T07:27:49.743967+00:00,5.0,1152,0,64.6,hit,0.00103216,claim=min_cacheable:above n=1152
